"code","email","name","organization"
"EP-001","tester1@eleicoesprogressistas.org.br","Testador Beta 1","Transparência Brasil"
"EP-002","tester2@eleicoesprogressistas.org.br","Testador Beta 2","Open Knowledge Brasil"
"EP-003","tester3@eleicoesprogressistas.org.br","Testador Beta 3","Instituto Vero"
"EP-004","tester4@eleicoesprogressistas.org.br","Testador Beta 4","Data Privacy Brasil"
"EP-005","tester5@eleicoesprogressistas.org.br","Testador Beta 5","Intervozes"
"EP-006","tester6@eleicoesprogressistas.org.br","Testador Beta 6","UFMG"
"EP-007","tester7@eleicoesprogressistas.org.br","Testador Beta 7","USP"
"EP-008","tester8@eleicoesprogressistas.org.br","Testador Beta 8","UFRJ"
"EP-009","tester9@eleicoesprogressistas.org.br","Testador Beta 9","UnB"
"EP-010","tester10@eleicoesprogressistas.org.br","Testador Beta 10","UFBA"
"EP-011","tester11@eleicoesprogressistas.org.br","Testador Beta 11","UFRGS"
"EP-012","tester12@eleicoesprogressistas.org.br","Testador Beta 12","UFPE"
"EP-013","tester13@eleicoesprogressistas.org.br","Testador Beta 13","Observatório Social"
"EP-014","tester14@eleicoesprogressistas.org.br","Testador Beta 14","Coletivo Digital"
"EP-015","tester15@eleicoesprogressistas.org.br","Testador Beta 15","Civic Tech Hub"
"EP-016","tester16@eleicoesprogressistas.org.br","Testador Beta 16","Transparência Brasil"
"EP-017","tester17@eleicoesprogressistas.org.br","Testador Beta 17","Open Knowledge Brasil"
"EP-018","tester18@eleicoesprogressistas.org.br","Testador Beta 18","Instituto Vero"
"EP-019","tester19@eleicoesprogressistas.org.br","Testador Beta 19","Data Privacy Brasil"
"EP-020","tester20@eleicoesprogressistas.org.br","Testador Beta 20","Intervozes"
"EP-021","tester21@eleicoesprogressistas.org.br","Testador Beta 21","UFMG"
"EP-022","tester22@eleicoesprogressistas.org.br","Testador Beta 22","USP"
"EP-023","tester23@eleicoesprogressistas.org.br","Testador Beta 23","UFRJ"
"EP-024","tester24@eleicoesprogressistas.org.br","Testador Beta 24","UnB"
"EP-025","tester25@eleicoesprogressistas.org.br","Testador Beta 25","UFBA"
"EP-026","tester26@eleicoesprogressistas.org.br","Testador Beta 26","UFRGS"
"EP-027","tester27@eleicoesprogressistas.org.br","Testador Beta 27","UFPE"
"EP-028","tester28@eleicoesprogressistas.org.br","Testador Beta 28","Observatório Social"
"EP-029","tester29@eleicoesprogressistas.org.br","Testador Beta 29","Coletivo Digital"
"EP-030","tester30@eleicoesprogressistas.org.br","Testador Beta 30","Civic Tech Hub"
"EP-031","tester31@eleicoesprogressistas.org.br","Testador Beta 31","Transparência Brasil"
"EP-032","tester32@eleicoesprogressistas.org.br","Testador Beta 32","Open Knowledge Brasil"
"EP-033","tester33@eleicoesprogressistas.org.br","Testador Beta 33","Instituto Vero"
"EP-034","tester34@eleicoesprogressistas.org.br","Testador Beta 34","Data Privacy Brasil"
"EP-035","tester35@eleicoesprogressistas.org.br","Testador Beta 35","Intervozes"
"EP-036","tester36@eleicoesprogressistas.org.br","Testador Beta 36","UFMG"
"EP-037","tester37@eleicoesprogressistas.org.br","Testador Beta 37","USP"
"EP-038","tester38@eleicoesprogressistas.org.br","Testador Beta 38","UFRJ"
"EP-039","tester39@eleicoesprogressistas.org.br","Testador Beta 39","UnB"
"EP-040","tester40@eleicoesprogressistas.org.br","Testador Beta 40","UFBA"
"EP-041","tester41@eleicoesprogressistas.org.br","Testador Beta 41","UFRGS"
"EP-042","tester42@eleicoesprogressistas.org.br","Testador Beta 42","UFPE"
"EP-043","tester43@eleicoesprogressistas.org.br","Testador Beta 43","Observatório Social"
"EP-044","tester44@eleicoesprogressistas.org.br","Testador Beta 44","Coletivo Digital"
"EP-045","tester45@eleicoesprogressistas.org.br","Testador Beta 45","Civic Tech Hub"
"EP-046","tester46@eleicoesprogressistas.org.br","Testador Beta 46","Transparência Brasil"
"EP-047","tester47@eleicoesprogressistas.org.br","Testador Beta 47","Open Knowledge Brasil"
"EP-048","tester48@eleicoesprogressistas.org.br","Testador Beta 48","Instituto Vero"
"EP-049","tester49@eleicoesprogressistas.org.br","Testador Beta 49","Data Privacy Brasil"
"EP-050","tester50@eleicoesprogressistas.org.br","Testador Beta 50","Intervozes"
