"email","name","organization"
"tester1@eleicoesprogressistas.org.br","Testador Beta 1","Transparência Brasil"
"tester2@eleicoesprogressistas.org.br","Testador Beta 2","Open Knowledge Brasil"
"tester3@eleicoesprogressistas.org.br","Testador Beta 3","Instituto Vero"
"tester4@eleicoesprogressistas.org.br","Testador Beta 4","Data Privacy Brasil"
"tester5@eleicoesprogressistas.org.br","Testador Beta 5","Intervozes"
"tester6@eleicoesprogressistas.org.br","Testador Beta 6","UFMG"
"tester7@eleicoesprogressistas.org.br","Testador Beta 7","USP"
"tester8@eleicoesprogressistas.org.br","Testador Beta 8","UFRJ"
"tester9@eleicoesprogressistas.org.br","Testador Beta 9","UnB"
"tester10@eleicoesprogressistas.org.br","Testador Beta 10","UFBA"
"tester11@eleicoesprogressistas.org.br","Testador Beta 11","UFRGS"
"tester12@eleicoesprogressistas.org.br","Testador Beta 12","UFPE"
"tester13@eleicoesprogressistas.org.br","Testador Beta 13","Observatório Social"
"tester14@eleicoesprogressistas.org.br","Testador Beta 14","Coletivo Digital"
"tester15@eleicoesprogressistas.org.br","Testador Beta 15","Civic Tech Hub"
"tester16@eleicoesprogressistas.org.br","Testador Beta 16","Transparência Brasil"
"tester17@eleicoesprogressistas.org.br","Testador Beta 17","Open Knowledge Brasil"
"tester18@eleicoesprogressistas.org.br","Testador Beta 18","Instituto Vero"
"tester19@eleicoesprogressistas.org.br","Testador Beta 19","Data Privacy Brasil"
"tester20@eleicoesprogressistas.org.br","Testador Beta 20","Intervozes"
"tester21@eleicoesprogressistas.org.br","Testador Beta 21","UFMG"
"tester22@eleicoesprogressistas.org.br","Testador Beta 22","USP"
"tester23@eleicoesprogressistas.org.br","Testador Beta 23","UFRJ"
"tester24@eleicoesprogressistas.org.br","Testador Beta 24","UnB"
"tester25@eleicoesprogressistas.org.br","Testador Beta 25","UFBA"
"tester26@eleicoesprogressistas.org.br","Testador Beta 26","UFRGS"
"tester27@eleicoesprogressistas.org.br","Testador Beta 27","UFPE"
"tester28@eleicoesprogressistas.org.br","Testador Beta 28","Observatório Social"
"tester29@eleicoesprogressistas.org.br","Testador Beta 29","Coletivo Digital"
"tester30@eleicoesprogressistas.org.br","Testador Beta 30","Civic Tech Hub"
"tester31@eleicoesprogressistas.org.br","Testador Beta 31","Transparência Brasil"
"tester32@eleicoesprogressistas.org.br","Testador Beta 32","Open Knowledge Brasil"
"tester33@eleicoesprogressistas.org.br","Testador Beta 33","Instituto Vero"
"tester34@eleicoesprogressistas.org.br","Testador Beta 34","Data Privacy Brasil"
"tester35@eleicoesprogressistas.org.br","Testador Beta 35","Intervozes"
"tester36@eleicoesprogressistas.org.br","Testador Beta 36","UFMG"
"tester37@eleicoesprogressistas.org.br","Testador Beta 37","USP"
"tester38@eleicoesprogressistas.org.br","Testador Beta 38","UFRJ"
"tester39@eleicoesprogressistas.org.br","Testador Beta 39","UnB"
"tester40@eleicoesprogressistas.org.br","Testador Beta 40","UFBA"
"tester41@eleicoesprogressistas.org.br","Testador Beta 41","UFRGS"
"tester42@eleicoesprogressistas.org.br","Testador Beta 42","UFPE"
"tester43@eleicoesprogressistas.org.br","Testador Beta 43","Observatório Social"
"tester44@eleicoesprogressistas.org.br","Testador Beta 44","Coletivo Digital"
"tester45@eleicoesprogressistas.org.br","Testador Beta 45","Civic Tech Hub"
"tester46@eleicoesprogressistas.org.br","Testador Beta 46","Transparência Brasil"
"tester47@eleicoesprogressistas.org.br","Testador Beta 47","Open Knowledge Brasil"
"tester48@eleicoesprogressistas.org.br","Testador Beta 48","Instituto Vero"
"tester49@eleicoesprogressistas.org.br","Testador Beta 49","Data Privacy Brasil"
"tester50@eleicoesprogressistas.org.br","Testador Beta 50","Intervozes"
